survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,3,male,55.5,0,0,8.05,s,Third,man,True,southampton,no,True
0,3,male,40.5,0,2,14.5,s,Third,man,True,southampton,no,False
0,3,male,28.0,0,0,7.3125,s,Third,man,True,southampton,no,True
0,1,male,51.0,0,1,61.3792,c,First,man,True,cherbourg,no,False
1,3,female,16.0,0,0,7.7333,q,Third,woman,False,queenstown,yes,True
0,3,male,30.0,0,0,8.05,s,Third,man,True,southampton,no,True
0,3,male,28.0,0,0,8.6625,s,Third,man,True,southampton,no,True
0,3,male,28.0,8,2,69.55,s,Third,man,True,southampton,no,False
0,3,male,44.0,0,1,16.1,s,Third,man,True,southampton,no,False
1,2,female,40.0,0,0,15.75,s,Second,woman,False,southampton,yes,True
0,3,male,26.0,0,0,7.775,s,Third,man,True,southampton,no,True
0,3,male,17.0,0,0,8.6625,s,Third,man,True,southampton,no,True
0,3,male,1.0,4,1,39.6875,s,Third,child,False,southampton,no,False
1,3,male,9.0,0,2,20.525,s,Third,child,False,southampton,yes,False
1,1,female,28.0,0,1,55.0,s,First,woman,False,southampton,yes,False
0,3,female,45.0,1,4,27.9,s,Third,woman,False,southampton,no,False
0,1,male,28.0,0,0,25.925,s,First,man,True,southampton,no,True
0,3,male,28.0,0,0,56.4958,s,Third,man,True,southampton,no,True
0,1,male,61.0,0,0,33.5,s,First,man,True,southampton,no,True
0,3,male,4.0,4,1,29.125,q,Third,child,False,queenstown,no,False
1,3,female,1.0,1,1,11.1333,s,Third,child,False,southampton,yes,False
0,3,male,21.0,0,0,7.925,s,Third,man,True,southampton,no,True
0,1,male,56.0,0,0,30.6958,c,First,man,True,cherbourg,no,True
0,3,male,18.0,1,1,7.8542,s,Third,man,True,southampton,no,False
0,3,male,28.0,3,1,25.4667,s,Third,man,True,southampton,no,False
0,1,female,50.0,0,0,28.7125,c,First,woman,False,cherbourg,no,True
0,2,male,30.0,0,0,13.0,s,Second,man,True,southampton,no,True
0,3,male,36.0,0,0,0.0,s,Third,man,True,southampton,no,True
0,3,female,28.0,8,2,69.55,s,Third,woman,False,southampton,no,False
0,2,male,28.0,0,0,15.05,c,Second,man,True,cherbourg,no,True
0,3,male,9.0,4,2,31.3875,s,Third,child,False,southampton,no,False
1,2,male,1.0,2,1,39.0,s,Second,child,False,southampton,yes,False
1,3,female,4.0,0,2,22.025,s,Third,child,False,southampton,yes,False
0,1,male,28.0,0,0,50.0,s,First,man,True,southampton,no,True
1,3,female,28.0,1,0,15.5,q,Third,woman,False,queenstown,yes,False
1,1,male,45.0,0,0,26.55,s,First,man,True,southampton,yes,True
0,3,male,40.0,1,1,15.5,q,Third,man,True,queenstown,no,False
0,3,male,36.0,0,0,7.8958,s,Third,man,True,southampton,no,True
1,2,female,32.0,0,0,13.0,s,Second,woman,False,southampton,yes,True
0,2,male,19.0,0,0,13.0,s,Second,man,True,southampton,no,True
1,3,female,19.0,1,0,7.8542,s,Third,woman,False,southampton,yes,False
1,2,male,3.0,1,1,26.0,s,Second,child,False,southampton,yes,False
1,1,female,44.0,0,0,27.7208,c,First,woman,False,cherbourg,yes,True
1,1,female,58.0,0,0,146.5208,c,First,woman,False,cherbourg,yes,True
0,3,male,28.0,0,0,7.75,q,Third,man,True,queenstown,no,True
0,3,male,42.0,0,1,8.4042,s,Third,man,True,southampton,no,False
1,3,female,28.0,0,0,7.75,q,Third,woman,False,queenstown,yes,True
0,2,female,24.0,0,0,13.0,s,Second,woman,False,southampton,no,True
0,3,male,28.0,0,0,9.5,s,Third,man,True,southampton,no,True
0,3,male,28.0,8,2,69.55,s,Third,man,True,southampton,no,False
0,3,male,34.0,0,0,6.4958,s,Third,man,True,southampton,no,True
0,3,male,45.5,0,0,7.225,c,Third,man,True,cherbourg,no,True
1,3,male,18.0,0,0,8.05,s,Third,man,True,southampton,yes,True
0,3,female,2.0,0,1,10.4625,s,Third,child,False,southampton,no,False
0,3,male,32.0,1,0,15.85,s,Third,man,True,southampton,no,False
1,3,male,26.0,0,0,18.7875,c,Third,man,True,cherbourg,yes,True
1,3,female,16.0,0,0,7.75,q,Third,woman,False,queenstown,yes,True
1,1,male,40.0,0,0,31.0,c,First,man,True,cherbourg,yes,True
0,3,male,24.0,0,0,7.05,s,Third,man,True,southampton,no,True
1,2,female,35.0,0,0,21.0,s,Second,woman,False,southampton,yes,True
0,3,male,22.0,0,0,7.25,s,Third,man,True,southampton,no,True
0,2,male,30.0,0,0,13.0,s,Second,man,True,southampton,no,True
0,3,male,28.0,1,0,7.75,q,Third,man,True,queenstown,no,False
1,1,female,31.0,1,0,113.275,c,First,woman,False,cherbourg,yes,False
1,3,female,27.0,0,0,7.925,s,Third,woman,False,southampton,yes,True
0,2,male,42.0,1,0,27.0,s,Second,man,True,southampton,no,False
1,1,female,32.0,0,0,76.2917,c,First,woman,False,cherbourg,yes,True
0,2,male,30.0,0,0,10.5,s,Second,man,True,southampton,no,True
1,3,male,16.0,0,0,8.05,s,Third,man,True,southampton,yes,True
0,2,male,27.0,0,0,13.0,s,Second,man,True,southampton,no,True
0,3,male,51.0,0,0,8.05,s,Third,man,True,southampton,no,True
0,3,male,28.0,0,0,7.8958,s,Third,man,True,southampton,no,True
1,1,male,38.0,1,0,90.0,s,First,man,True,southampton,yes,False
0,3,male,22.0,0,0,9.35,s,Third,man,True,southampton,no,True
1,2,male,19.0,0,0,10.5,s,Second,man,True,southampton,yes,True
0,3,male,20.5,0,0,7.25,s,Third,man,True,southampton,no,True
0,2,male,18.0,0,0,13.0,s,Second,man,True,southampton,no,True
0,3,female,28.0,3,1,25.4667,s,Third,woman,False,southampton,no,False
1,1,female,35.0,1,0,83.475,s,First,woman,False,southampton,yes,False
0,3,male,29.0,0,0,7.775,s,Third,man,True,southampton,no,True
0,2,male,59.0,0,0,13.5,s,Second,man,True,southampton,no,True
1,3,female,5.0,4,2,31.3875,s,Third,child,False,southampton,yes,False
0,2,male,24.0,0,0,10.5,s,Second,man,True,southampton,no,True
0,3,female,28.0,0,0,7.55,s,Third,woman,False,southampton,no,True
0,2,male,44.0,1,0,26.0,s,Second,man,True,southampton,no,False
1,2,female,8.0,0,2,26.25,s,Second,child,False,southampton,yes,False
0,2,male,19.0,0,0,10.5,s,Second,man,True,southampton,no,True
0,2,male,33.0,0,0,12.275,s,Second,man,True,southampton,no,True
0,3,female,28.0,1,0,14.4542,c,Third,woman,False,cherbourg,no,False
1,3,female,28.0,1,0,15.5,q,Third,woman,False,queenstown,yes,False
0,2,male,29.0,0,0,10.5,s,Second,man,True,southampton,no,True
0,3,male,22.0,0,0,7.125,s,Third,man,True,southampton,no,True
0,3,male,30.0,0,0,7.225,c,Third,man,True,cherbourg,no,True
0,1,male,44.0,2,0,90.0,q,First,man,True,queenstown,no,False
0,3,female,25.0,0,0,7.775,s,Third,woman,False,southampton,no,True
1,2,female,24.0,0,2,14.5,s,Second,woman,False,southampton,yes,False
1,1,male,37.0,1,1,52.5542,s,First,man,True,southampton,yes,False
0,2,male,54.0,1,0,26.0,s,Second,man,True,southampton,no,False
0,3,male,28.0,0,0,7.25,s,Third,man,True,southampton,no,True
0,3,female,29.0,1,1,10.4625,s,Third,woman,False,southampton,no,False
0,1,male,62.0,0,0,26.55,s,First,man,True,southampton,no,True
0,3,male,30.0,1,0,16.1,s,Third,man,True,southampton,no,False
0,3,female,41.0,0,2,20.2125,s,Third,woman,False,southampton,no,False
1,3,female,29.0,0,2,15.2458,c,Third,woman,False,cherbourg,yes,False
1,1,female,28.0,0,0,79.2,c,First,woman,False,cherbourg,yes,True
1,1,female,30.0,0,0,86.5,s,First,woman,False,southampton,yes,True
1,1,female,35.0,0,0,512.3292,c,First,woman,False,cherbourg,yes,True
1,2,female,50.0,0,1,26.0,s,Second,woman,False,southampton,yes,False
0,3,male,28.0,0,0,7.75,q,Third,man,True,queenstown,no,True
1,3,male,3.0,4,2,31.3875,s,Third,child,False,southampton,yes,False
0,1,male,52.0,1,1,79.65,s,First,man,True,southampton,no,False
0,1,male,40.0,0,0,0.0,s,First,man,True,southampton,no,True
0,3,female,28.0,0,0,7.75,q,Third,woman,False,queenstown,no,True
0,2,male,36.0,0,0,10.5,s,Second,man,True,southampton,no,True
0,3,male,16.0,4,1,39.6875,s,Third,man,True,southampton,no,False
1,3,male,25.0,1,0,7.775,s,Third,man,True,southampton,yes,False
1,1,female,58.0,0,1,153.4625,s,First,woman,False,southampton,yes,False
1,1,female,35.0,0,0,135.6333,s,First,woman,False,southampton,yes,True
0,1,male,28.0,0,0,31.0,s,First,man,True,southampton,no,True
1,3,male,25.0,0,0,0.0,s,Third,man,True,southampton,yes,True
1,2,female,41.0,0,1,19.5,s,Second,woman,False,southampton,yes,False
0,1,male,37.0,0,1,29.7,c,First,man,True,cherbourg,no,False
1,3,female,28.0,0,0,7.75,q,Third,woman,False,queenstown,yes,True
1,1,female,63.0,1,0,77.9583,s,First,woman,False,southampton,yes,False
0,3,female,45.0,0,0,7.75,s,Third,woman,False,southampton,no,True
0,2,male,28.0,0,0,0.0,s,Second,man,True,southampton,no,True
0,3,male,7.0,4,1,29.125,q,Third,child,False,queenstown,no,False
1,3,female,35.0,1,1,20.25,s,Third,woman,False,southampton,yes,False
0,3,male,65.0,0,0,7.75,q,Third,man,True,queenstown,no,True
0,3,male,28.0,0,0,7.8542,s,Third,man,True,southampton,no,True
0,3,male,16.0,0,0,9.5,s,Third,man,True,southampton,no,True
1,3,male,19.0,0,0,8.05,s,Third,man,True,southampton,yes,True
0,1,male,28.0,0,0,26.0,s,First,man,True,southampton,no,True
0,3,male,33.0,0,0,8.6625,c,Third,man,True,cherbourg,no,True
1,3,male,30.0,0,0,9.5,s,Third,man,True,southampton,yes,True
0,3,male,22.0,0,0,7.8958,s,Third,man,True,southampton,no,True
1,2,male,42.0,0,0,13.0,s,Second,man,True,southampton,yes,True
1,3,female,22.0,0,0,7.75,q,Third,woman,False,queenstown,yes,True
1,1,female,26.0,0,0,78.85,s,First,woman,False,southampton,yes,True
1,1,female,19.0,1,0,91.0792,c,First,woman,False,cherbourg,yes,False
0,2,male,36.0,0,0,12.875,c,Second,man,True,cherbourg,no,True
0,3,female,24.0,0,0,8.85,s,Third,woman,False,southampton,no,True
0,3,male,24.0,0,0,7.8958,s,Third,man,True,southampton,no,True
0,1,male,28.0,0,0,27.7208,c,First,man,True,cherbourg,no,True
0,3,male,23.5,0,0,7.2292,c,Third,man,True,cherbourg,no,True
0,1,female,2.0,1,2,151.55,s,First,child,False,southampton,no,False
1,1,male,28.0,0,0,30.5,s,First,man,True,southampton,yes,True
1,1,female,50.0,0,1,247.5208,c,First,woman,False,cherbourg,yes,False
1,3,female,28.0,0,0,7.75,q,Third,woman,False,queenstown,yes,True
1,3,male,28.0,2,0,23.25,q,Third,man,True,queenstown,yes,False
0,3,male,19.0,0,0,0.0,s,Third,man,True,southampton,no,True
1,2,female,28.0,0,0,12.35,q,Second,woman,False,queenstown,yes,True
0,3,male,28.0,0,0,8.05,s,Third,man,True,southampton,no,True
1,1,male,0.92,1,2,151.55,s,First,child,False,southampton,yes,False
1,1,female,28.0,0,0,110.8833,c,First,woman,False,cherbourg,yes,True
1,1,female,17.0,1,0,108.9,c,First,woman,False,cherbourg,yes,False
0,2,male,30.0,1,0,24.0,c,Second,man,True,cherbourg,no,False
1,1,female,30.0,0,0,56.9292,c,First,woman,False,cherbourg,yes,True
1,1,female,24.0,0,0,83.1583,c,First,woman,False,cherbourg,yes,True
1,1,female,18.0,2,2,262.375,c,First,woman,False,cherbourg,yes,False
0,2,female,26.0,1,1,26.0,s,Second,woman,False,southampton,no,False
0,3,male,28.0,0,0,7.8958,s,Third,man,True,southampton,no,True
0,2,male,43.0,1,1,26.25,s,Second,man,True,southampton,no,False
1,3,female,26.0,0,0,7.8542,s,Third,woman,False,southampton,yes,True
1,2,female,24.0,1,0,26.0,s,Second,woman,False,southampton,yes,False
0,2,male,54.0,0,0,14.0,s,Second,man,True,southampton,no,True
1,1,female,31.0,0,2,164.8667,s,First,woman,False,southampton,yes,False
1,1,female,40.0,1,1,134.5,c,First,woman,False,cherbourg,yes,False
0,3,male,22.0,0,0,7.25,s,Third,man,True,southampton,no,True
0,3,male,27.0,0,0,7.8958,s,Third,man,True,southampton,no,True
1,2,female,30.0,0,0,12.35,q,Second,woman,False,queenstown,yes,True
1,2,female,22.0,1,1,29.0,s,Second,woman,False,southampton,yes,False
0,3,male,28.0,8,2,69.55,s,Third,man,True,southampton,no,False
1,1,female,36.0,0,0,135.6333,c,First,woman,False,cherbourg,yes,True
0,3,male,61.0,0,0,6.2375,s,Third,man,True,southampton,no,True
1,2,female,36.0,0,0,13.0,s,Second,woman,False,southampton,yes,True
1,3,female,31.0,1,1,20.525,s,Third,woman,False,southampton,yes,False
1,1,female,16.0,0,1,57.9792,c,First,woman,False,cherbourg,yes,False
1,3,female,28.0,2,0,23.25,q,Third,woman,False,queenstown,yes,False
0,1,male,45.5,0,0,28.5,s,First,man,True,southampton,no,True
0,1,male,38.0,0,1,153.4625,s,First,man,True,southampton,no,False
0,3,male,16.0,2,0,18.0,s,Third,man,True,southampton,no,False
1,1,female,28.0,1,0,133.65,s,First,woman,False,southampton,yes,False
0,3,male,28.0,0,0,7.8958,s,Third,man,True,southampton,no,True
0,1,male,29.0,1,0,66.6,s,First,man,True,southampton,no,False
1,1,female,41.0,0,0,134.5,c,First,woman,False,cherbourg,yes,True
1,3,male,45.0,0,0,8.05,s,Third,man,True,southampton,yes,True
0,1,male,45.0,0,0,35.5,s,First,man,True,southampton,no,True
1,2,male,2.0,1,1,26.0,s,Second,child,False,southampton,yes,False
1,1,female,24.0,3,2,263.0,s,First,woman,False,southampton,yes,False
0,2,male,28.0,0,0,13.0,s,Second,man,True,southampton,no,True
0,2,male,25.0,0,0,13.0,s,Second,man,True,southampton,no,True
0,2,male,36.0,0,0,13.0,s,Second,man,True,southampton,no,True
1,2,female,24.0,0,0,13.0,s,Second,woman,False,southampton,yes,True
1,2,female,40.0,0,0,13.0,s,Second,woman,False,southampton,yes,True
1,3,female,28.0,1,0,16.1,s,Third,woman,False,southampton,yes,False
1,3,male,3.0,1,1,15.9,s,Third,child,False,southampton,yes,False
0,3,male,42.0,0,0,8.6625,s,Third,man,True,southampton,no,True
0,3,male,23.0,0,0,9.225,s,Third,man,True,southampton,no,True
0,1,male,28.0,0,0,35.0,s,First,man,True,southampton,no,True
0,3,male,15.0,1,1,7.2292,c,Third,child,False,cherbourg,no,False
0,3,male,25.0,1,0,17.8,s,Third,man,True,southampton,no,False
0,3,male,28.0,0,0,7.225,c,Third,man,True,cherbourg,no,True
0,3,male,28.0,0,0,9.5,s,Third,man,True,southampton,no,True
1,1,female,22.0,0,1,55.0,s,First,woman,False,southampton,yes,False
0,2,female,38.0,0,0,13.0,s,Second,woman,False,southampton,no,True
1,3,female,28.0,0,0,7.8792,q,Third,woman,False,queenstown,yes,True
1,3,female,28.0,0,0,7.8792,q,Third,woman,False,queenstown,yes,True
0,3,male,40.0,1,4,27.9,s,Third,man,True,southampton,no,False
0,2,male,29.0,1,0,27.7208,c,Second,man,True,cherbourg,no,False
0,3,female,45.0,0,1,14.4542,c,Third,woman,False,cherbourg,no,False
0,3,male,35.0,0,0,7.05,s,Third,man,True,southampton,no,True
0,3,male,28.0,1,0,15.5,q,Third,man,True,queenstown,no,False
0,3,male,30.0,0,0,7.25,s,Third,man,True,southampton,no,True
1,1,female,60.0,1,0,75.25,c,First,woman,False,cherbourg,yes,False
1,3,female,28.0,0,0,7.2292,c,Third,woman,False,cherbourg,yes,True
1,3,female,28.0,0,0,7.75,q,Third,woman,False,queenstown,yes,True
1,1,female,24.0,0,0,69.3,c,First,woman,False,cherbourg,yes,True
1,1,male,25.0,1,0,55.4417,c,First,man,True,cherbourg,yes,False
0,3,male,18.0,1,0,6.4958,s,Third,man,True,southampton,no,False
0,3,male,19.0,0,0,8.05,s,Third,man,True,southampton,no,True
0,1,male,22.0,0,0,135.6333,c,First,man,True,cherbourg,no,True
0,3,female,3.0,3,1,21.075,s,Third,child,False,southampton,no,False
1,1,female,28.0,1,0,82.1708,c,First,woman,False,cherbourg,yes,False
1,3,female,22.0,0,0,7.25,s,Third,woman,False,southampton,yes,True
0,1,male,27.0,0,2,211.5,c,First,man,True,cherbourg,no,False
0,3,male,20.0,0,0,4.0125,c,Third,man,True,cherbourg,no,True
0,3,male,19.0,0,0,7.775,s,Third,man,True,southampton,no,True
1,1,female,42.0,0,0,227.525,c,First,woman,False,cherbourg,yes,True
1,3,female,1.0,0,2,15.7417,c,Third,child,False,cherbourg,yes,False
